Area,Price_RM,Size_SQFT,Bedrooms,Bathrooms,Property_Type,Source,Area_clean
Skudai,2500000,6750.0,6.0,7.0,Bungalow,Mudah,Skudai
Skudai,588000,1400.0,3.0,2.0,Terrace House,Mudah,Skudai
Johor Bahru,1000000,5436.0,4.0,3.0,Terrace House,Mudah,Johor Bahru
Pasir Gudang,600000,1300.0,4.0,3.0,Terrace House,Mudah,Pasir Gudang
Pasir Gudang,240000,816.0,2.0,1.0,Terrace House,Mudah,Pasir Gudang
Iskandar Puteri,1200000,2454.0,5.0,5.0,Residential,Mudah,Iskandar Puteri
Kluang,400000,6286.0,4.0,3.0,Bungalow,Mudah,Kluang
Johor Bahru,720000,1170.0,4.0,3.0,Terrace House,Mudah,Johor Bahru
Kulai,760000,2417.0,4.0,3.0,Terrace House,Mudah,Kulai
Johor Bahru,758000,1723.0,4.0,3.0,Terrace House,Mudah,Johor Bahru
Skudai,588000,1500.0,4.0,3.0,Terrace House,Mudah,Skudai
Kulai,485000,1540.0,4.0,2.0,Terrace House,Mudah,Kulai
Skudai,668000,2800.0,3.0,3.0,Terrace House,Mudah,Skudai
Kluang,350000,1200.0,3.0,2.0,Terrace House,Mudah,Kluang
Johor Bahru,879000,1600.0,4.0,3.0,Terrace House,Mudah,Johor Bahru
Johor Bahru,490000,1400.0,4.0,2.0,Terrace House,Mudah,Johor Bahru
Kulai,558000,1680.0,4.0,2.0,Terrace House,Mudah,Kulai
Johor Bahru,738000,1400.0,3.0,2.0,Terrace House,Mudah,Johor Bahru
Iskandar Puteri,1600000,1943.0,4.0,3.0,Terrace House,Mudah,Iskandar Puteri
Ulu Tiram,480000,1936.0,4.0,3.0,Terrace House,Mudah,Ulu Tiram
Kulai,648000,2820.0,4.0,3.0,Terrace House,Mudah,Kulai
Ulu Tiram,455000,1680.0,3.0,2.0,Terrace House,Mudah,Ulu Tiram
Pasir Gudang,550000,1650.0,3.0,2.0,Terrace House,Mudah,Pasir Gudang
Pasir Gudang,484800,2100.0,4.0,3.0,Terrace House,Mudah,Pasir Gudang
Ulu Tiram,628000,1540.0,5.0,4.0,Terrace House,Mudah,Ulu Tiram
Kulai,558000,1540.0,4.0,2.0,Terrace House,Mudah,Kulai
Ulu Tiram,768000,1760.0,4.0,3.0,Terrace House,Mudah,Ulu Tiram
